FIRE_YEAR,Fire_Date,DISCOVERY_TIME,Days_to_extinguish_fire,CONT_TIME,FIRE_SIZE,FIRE_SIZE_CLASS
2010,05-18-2010,1725,1,1725,5,B
2010,05-30-2010,1445,0,1445,0.8,B
2010,05-30-2010,1235,0,1235,6,B
2010,06-02-2010,1625,0,1625,75,C
2010,06-03-2010,1530,0,1530,10,C
2010,06-01-2010,1500,0,1500,60,C
2010,06-03-2010,1610,0,1610,0.5,B
2010,05-30-2010,1900,0,1900,65,C
2010,06-01-2010,1500,1,1500,0.5,B
2010,06-03-2010,1540,0,1540,11,C
2010,05-25-2010,1415,0,1415,6,B
2010,06-05-2010,1930,0,1930,0.3,B
2010,06-02-2010,2215,0,2215,3,B
2010,06-06-2010,1620,0,1620,5,B
2010,05-29-2010,1115,0,1115,1.3,B
2010,06-06-2010,1450,0,1450,2.8,B
2010,06-03-2010,1840,2,1840,75,C
2010,05-29-2010,1235,0,1235,65,C
2010,06-07-2010,1415,0,1415,6,B
2010,06-03-2010,1340,0,1340,8,B
2010,06-08-2010,1615,1,1615,20,C
2010,06-10-2010,1927,0,1927,4,B
2010,06-10-2010,1706,0,1706,8,B
2010,06-12-2010,2030,0,2030,0.2,A
2010,06-12-2010,1840,0,1840,0.3,B
2010,06-12-2010,1425,0,1425,4,B
2010,06-13-2010,1609,0,1609,5,B
2010,06-13-2010,1710,0,1710,0.1,A
2010,06-12-2010,2030,0,2030,4,B
2010,05-30-2010,1550,0,1550,2.5,B
2010,06-14-2010,1539,0,1539,0.8,B
2010,06-14-2010,1705,0,1705,0.5,B
2010,06-14-2010,1445,0,1445,2,B
2010,06-14-2010,1530,0,1530,0.5,B
2010,06-14-2010,1645,0,1645,0.5,B
2010,06-14-2010,1642,0,1642,2.5,B
2010,06-14-2010,1818,1,1818,1,B
2010,06-14-2010,1658,0,1658,0.5,B
2010,06-13-2010,1355,0,1355,2,B
2010,06-15-2010,1542,0,1542,0.1,A
2010,06-15-2010,1802,0,1802,0.1,A
2010,06-14-2010,1715,0,1715,4,B
2010,06-12-2010,,0,,5,B
2010,06-14-2010,1320,0,1320,28,C
2010,06-16-2010,1430,0,1430,0.1,A
2010,06-14-2010,1409,0,1409,5,B
2010,06-13-2010,1645,3,1645,0.1,A
2010,06-16-2010,1820,0,1820,1.2,B
2010,06-16-2010,1925,0,1925,1,B
2010,06-16-2010,1826,0,1826,0.5,B
2010,06-16-2010,2036,0,2036,1,B
2010,06-16-2010,1432,0,1432,0.2,A
2010,06-13-2010,1915,0,1915,1,B
2010,06-16-2010,1530,0,1530,0.3,B
2010,06-13-2010,2255,1,2255,15,C
2010,06-16-2010,1100,0,1100,0.1,A
2010,06-14-2010,1138,0,1138,16,C
2010,06-16-2010,1650,0,1650,6,B
2010,06-07-2010,2030,0,2030,6,B
2010,06-16-2010,1808,0,1808,0.9,B
2010,06-16-2010,1925,1,1925,2,B
2010,06-15-2010,1610,0,1610,0.5,B
2010,06-16-2010,2110,0,2110,0.5,B
2010,06-16-2010,1715,0,1715,2,B
2010,06-14-2010,1135,0,1135,0.1,A
2010,06-17-2010,1225,0,1225,0.1,A
2010,06-16-2010,1755,0,1755,0.2,A
2010,06-17-2010,1521,0,1521,0.2,A
2010,06-17-2010,1345,0,1345,2,B
2010,06-15-2010,1550,0,1550,15,C
2010,06-17-2010,1520,0,1520,15,C
2010,06-13-2010,1747,0,1747,2,B
2010,06-16-2010,1607,0,1607,5,B
2010,06-16-2010,1130,0,1130,2,B
2010,06-16-2010,2020,0,2020,10,C
2010,06-05-2010,,0,,3,B
2010,06-15-2010,1850,0,1850,15.5,C
2010,06-17-2010,1545,0,1545,5,B
2010,06-17-2010,1655,0,1655,10,C
2010,06-13-2010,1853,0,1853,10,C
2010,06-16-2010,1750,0,1750,0.5,B
2010,06-16-2010,1630,0,1630,1,B
2010,06-17-2010,1700,0,1700,1,B
2010,06-15-2010,1610,0,1610,20,C
2010,06-16-2010,1545,0,1545,0.2,A
2010,06-18-2010,1200,0,1200,18,C
2010,06-16-2010,1620,0,1620,0.1,A
2010,06-16-2010,1541,0,1541,10,C
2010,06-17-2010,1600,0,1600,0.1,A
2010,06-16-2010,1000,0,1000,15,C
2010,06-18-2010,1620,0,1620,1,B
2010,06-18-2010,1635,0,1635,15,C
2010,06-18-2010,1345,0,1345,0.5,B
2010,06-15-2010,1600,0,1600,3,B
