FIRE_YEAR,Fire_Date,DISCOVERY_TIME,Days_to_extinguish_fire,CONT_TIME,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,STATE,FIPS_CODE,FIPS_NAME
1996,1996,,11,,100,D,46.04716,-117.15323,WA,3,Asotin
2007,2007,,9,,100,D,26.8925,-81.57360997,FL,15,Charlotte
2007,2007,,2,,100,D,33.79174999,-97.21687001,TX,97,Cooke
2007,2007,,3,,100,D,32.19603998,-102.2354,TX,3,Andrews
2007,2007,,11,,100,D,33.8808,-103.1787,NM,41,Roosevelt
2007,2007,,15,,100,D,42.91521,-101.7065,NE,,
2007,2007,,20,,100,D,43.4557,-102.2755,SD,,
2007,2007,1530,18,2000,100,D,31.224845,-87.099243,AL,53,Escambia
2008,2008,,3,,100,D,27.73889,-82.01278,FL,105,Polk
1996,1996,,6,,100,D,37.84805555,-120.6,CA,,
1996,1996,,8,,100,D,38.01111111,-120.57,CA,,
1996,1996,,13,,100,D,37.895,-120.5511111,CA,,
1996,1996,,7,,100,D,37.84888888,-120.4888889,CA,,
2008,2008,,20,,100,D,32.34401,-100.612,TX,353,Nolan
2008,2008,,16,,100,D,31.12479,-98.82172,TX,411,San Saba
1997,1997,,8,,100,D,62.9747,-141.2885,AK,,
1997,1997,,11,,100,D,64.43418,-144.5893,AK,,
1997,1997,,7,,100,D,64.65345,-146.0619,AK,,
1997,1997,,18,,100,D,63.55454,-141.7686,AK,,
1997,1997,,10,,100,D,28.36,-81.05,FL,95,Orange
1997,1997,,11,,100,D,26.98,-81.23,FL,43,Glades
2008,2008,,9,,100,D,31.07104,-98.83488,TX,411,San Saba
1997,1997,,11,,100,D,65.02297,-147.1216,AK,,
2008,2008,,2,,100,D,29.30833,-82.63306,FL,75,Levy
2008,2008,,14,,100,D,35.01943,-100.6651,TX,129,Donley
1997,1997,,5,,100,D,26.05,-80.45,FL,11,Broward
1997,1997,,16,,100,D,61.05817,-158.9217,AK,,
1997,1997,,9,,100,D,40.78111111,-120.8911111,CA,,
2008,2008,,3,,100,D,32.35913,-96.63013,TX,139,Ellis
2008,2008,,16,,100,D,27.65694,-81.68278,FL,105,Polk
1997,1997,,18,,100,D,64.94017,-144.3791,AK,,
1997,1997,,14,,100,D,63.49145,-155.6275,AK,,
2008,2008,,4,,100,D,33.00432,-99.20193,TX,447,Throckmorton
2008,2008,,4,,100,D,32.33549,-81.12402,SC,53,Jasper
1997,1997,,16,,100,D,26.3561,-80.4669,FL,99,Palm Beach
2008,2008,,12,,100,D,35.12787,-101.0557,TX,129,Donley
2008,2008,,11,,100,D,26.265,-80.46722,FL,11,Broward
2009,2009,,19,,100,D,27.17667,-80.36139,FL,85,Martin
2010,2010,1541,8,800,100,D,46.8680556,-121.35,WA,77,Yakima
2010,2010,,3,,100,D,38.86960232,-80.63693619,WV,7,Braxton
2010,2010,1750,3,1750,100,D,26.3156,-80.3131,FL,11,Broward
2005,2005,,20,,100,D,30.29705303,-89.95624843,LA,103,St. Tammany
2006,03-13-2005,,14,,100,D,30.90605672,-92.6956699,LA,79,Rapides
2006,03-17-2006,,18,,100,D,35.24284002,-101.1422,TX,65,Carson
2006,03-23-2008,,13,,100,D,30.51375,-99.13692,TX,319,Mason
2005,03-25-2004,1200,17,1430,100,D,47.431,-107.969,MT,,
2006,04-16-2008,,17,,100,D,32.84412,-102.2266,TX,165,Gaines
2006,04-18-2002,,9,,100,D,45.89067,-99.63085,SD,,
2006,04-18-2008,,14,,100,D,32.90014,-102.9729,TX,165,Gaines
1998,1998,,14,,100,D,27.81,-80.93,FL,97,Osceola
2006,04-19-2006,,6,,100,D,33.14855002,-99.57772997,TX,207,Haskell
1998,1998,,11,,100,D,26.23,-80.4,FL,11,Broward
1998,1998,1900,3,1900,100,D,47.6064,-107.547,MT,,
2006,04-23-2008,,16,,100,D,35.79623,-102.5434,TX,205,Hartley
2007,04-24-1994,,3,,100,D,28.31,-82.72,FL,101,Pasco
2007,04-28-1999,,6,,100,D,26.84,-82.03,FL,15,Charlotte
1998,1998,2230,19,130,100,D,46.734722,-119.591667,WA,,
1998,1998,,15,,100,D,63.17878,-141.4056,AK,,
1998,1998,2000,11,,100,D,29.8425,-93.4894444,LA,,
1998,1998,,5,,100,D,26.1531,-80.5631,FL,11,Broward
1998,1998,,2,,100,D,34.4683,-77.8017,NC,,
1998,1998,,3,,100,D,64.06995,-141.3824,AK,,
1998,1998,100,15,900,100,D,29.1,-81.4327778,FL,,
2007,04-29-2002,,6,,100,D,34.3894,-79.6233,SC,,
2000,05-15-2000,1830,9,2100,100,D,25.651661,-80.535947,FL,,
2006,05-17-1994,,10,,100,D,48.98659896,-96.85377038,MN,69,Kittson
1998,1998,,3,,100,D,30.27,-81.94,FL,31,Duval
2006,05-18-2006,,7,,100,D,32.71255002,-102.8088,TX,165,Gaines
1998,1998,,17,,100,D,26.1169,-81.4661,FL,21,Collier
1998,1998,,12,,100,D,30.3,-85.7,FL,5,Bay
2005,05-20-2003,,12,,100,D,26.28332999,-80.41665999,FL,11,Broward
2006,05-20-2006,,4,,100,D,36.09017,-103.8645,NM,21,Harding
1998,1998,1000,1,,100,D,33.4932,-80.3605,SC,,
2006,05-20-2006,,2,,100,D,32.9114,-101.3169,TX,33,Borden
2006,05-20-2006,,7,,100,D,30.58286,-104.0082,TX,243,Jeff Davis
2006,05-21-2006,,1,,100,D,32.42193997,-102.2236,TX,3,Andrews
2006,05-21-2006,,13,,100,D,34.93856999,-101.616,TX,11,Armstrong
2008,05-22-2001,,16,,100,D,26.9797,-80.3444,FL,85,Martin
2006,05-22-2006,,14,,100,D,33.06888999,-101.3947,TX,169,Garza
1998,1998,,15,,100,D,28.24,-82.56,FL,101,Pasco
1998,1998,1400,13,800,100,D,29.8516667,-93.5586111,LA,,
1998,1998,1400,13,800,100,D,29.8494444,-93.5336111,LA,,
2006,05-22-2006,,2,,100,D,35.81627999,-102.8112,TX,205,Hartley
2006,05-23-2005,,2,,100,D,30.7405,-103.9047,TX,243,Jeff Davis
2008,05-24-1992,,8,,100,D,41.53111111,-122.4861111,CA,,
2008,05-24-2001,,17,,100,D,28.0919,-81.8972,FL,105,Polk
1998,1998,,15,,100,D,26.94,-81.64,FL,15,Charlotte
2006,05-24-2006,,15,,100,D,31.78584002,-101.3886,TX,173,Glasscock
1998,1998,830,3,,100,D,28.56666667,-80.875,FL,,
1998,1998,1500,14,,100,D,28.58333333,-80.875,FL,,
1998,1998,,18,,100,D,28.68,-80.91,FL,9,Brevard
2006,05-25-2001,,15,,100,D,34.01832999,-103.31,NM,41,Roosevelt
1998,1998,1100,14,1800,100,D,47.583,-106.982,MT,,
2006,05-25-2008,,3,,100,D,32.0571,-102.5064,TX,495,Winkler
2008,05-26-1999,,17,,100,D,26.61,-81.18,FL,51,Hendry
2006,05-26-2006,,14,,100,D,33.9496,-103.3142,NM,41,Roosevelt
2006,05-26-2006,,6,,100,D,33.8245,-103.2405,NM,41,Roosevelt
1998,1998,1843,13,1200,100,D,30.7672222,-82.23,GA,,
2009,05-26-2009,,1,,100,D,40.29903412,-98.72383118,NE,,
1998,1998,1600,7,2000,100,D,41.75,-103.65,NE,,
1998,05-27-1998,1100,18,1600,100,D,47.683,-107.5,MT,,
2008,05-27-1999,,6,,100,D,27.1,-82.23,FL,115,Sarasota
1998,1998,,11,,100,D,44.07858,-103.2766,SD,,
1999,1999,,15,,100,D,28.27,-81.12,FL,97,Osceola
2005,05-28-2006,,4,,100,D,26.99306002,-80.24666999,FL,85,Martin
1999,1999,,17,,100,D,27.11,-82.28,FL,115,Sarasota
2005,05-30-2005,,20,,100,D,25.42582997,-80.46944001,FL,25,Dade
2006,05-30-2006,,3,,100,D,34.1284,-103.5832,NM,41,Roosevelt
2006,05-30-2006,,10,,100,D,31.59875001,-101.065,TX,431,Sterling
1999,1999,1200,13,,100,D,29.8466667,-93.7647222,LA,,
2006,05-30-2006,,12,,100,D,35.20625,-101.4339,TX,65,Carson
